Unidade,Segmento,Família,Código Produto,Produto Descontinuado,UF Origem,Data,Substituto Direto,Indicação,Subs. Troca Expressa
SEGURANCA ELETRONICA,CFTV IP,Cameras IP,1950219,CAMERA IP DE VIDEO BULLET VIP 7230 AE PTZ,SC,ago.-25, - ,1950220 - CAMERA IP DE VIDEO BULLET VIP 7230 AE PTZ IR,1950220 - CAMERA IP DE VIDEO BULLET VIP 7230 AE PTZ IR
SEGURANCA ELETRONICA,Gerenciamento de Imagem,NVR,1950419,GRAVADOR DIG. DE VIDEO INVU 90128-M1-FT,SC,ago.-25,4950857 - GRAVADOR DIG VID INVU 91128 M1 FT,4950857 - GRAVADOR DIG VID INVU 91128 M1 FT, - 
SEGURANCA ELETRONICA,Gerenciamento de Imagem,NVR,1950487,GRAVADOR DIG. DE VIDEO INVU 90128 M2 FT,SC,ago.-25,4950856 - GRAVADOR DIG VID INVU 91128 M2 FT,4950856 - GRAVADOR DIG VID INVU 91128 M2 FT, - 
VAREJO,Comunicacao HO,Perifericos de TV,4140038,CONVERSOR DIGITAL DE TV COM GRAVADOR CD 905,SC,ago.-25,4140700 - CONVERSOR DIGITAL DE TV COM GRAVADOR CD 700,4140700 - CONVERSOR DIGITAL DE TV COM GRAVADOR CD 700,4140700 - CONVERSOR DIGITAL DE TV COM GRAVADOR CD 700
VAREJO,Comunicacao HO,Perifericos de TV,4143005,CD 730,SC,ago.-25,4140700 - CONVERSOR DIGITAL DE TV COM GRAVADOR CD 700,4140700 - CONVERSOR DIGITAL DE TV COM GRAVADOR CD 700,4140700 - CONVERSOR DIGITAL DE TV COM GRAVADOR CD 700
VAREJO,Comunicacao HO,Perifericos de TV,4143012,Controle Remoto IR/BT- IZYC02,SC,ago.-25, - , - , - 
COMUNICACAO,Comunicacao Corporativa,Centrais Telefonicas,4320070,IMPACTAS 94/140/220/300,SC,ago.-25, - ,4320044 - CENTRAL DIGITAL IMPACTA 140R, - 
COMUNICACAO,Comunicacao Corporativa,Gateways,4420003,CIP 92200,SC,ago.-25, - , - , - 
COMUNICACAO,Comunicacao Corporativa,Gateways,4420007,CIP 92200,SC,ago.-25, - , - , - 
SEGURANCA ELETRONICA,Captacao de Imagem,Cameras Analogicas,4560023,VHD 3230 D SL,AM,ago.-25, - ,"4560054 - VHD 3220 D FC+ - CÂMERA DOME, FULL COLOR INTELIGENTE (TRANSIÇÃO ENTRE IR E FULL COLOR), MICROFONE EMBUTIDO, MULTI HD®, 4X1 = HDCVI, AHD-H, HDTVI(V2.0) E ANALÓGICO, RESOLUÇÃO (FULL HD) 1080P, SENSOR 1/3"", LENTE 2,8MM, ÂNGULO DE VISÃO 112°, 20M LED, MENU OSD, INSTALAÇÃO INTERNA E EXTERNA","4560054 - VHD 3220 D FC+ - CÂMERA DOME, FULL COLOR INTELIGENTE (TRANSIÇÃO ENTRE IR E FULL COLOR), MICROFONE EMBUTIDO, MULTI HD®, 4X1 = HDCVI, AHD-H, HDTVI(V2.0) E ANALÓGICO, RESOLUÇÃO (FULL HD) 1080P, SENSOR 1/3"", LENTE 2,8MM, ÂNGULO DE VISÃO 112°, 20M LED, MENU OSD, INSTALAÇÃO INTERNA E EXTERNA"
SEGURANCA ELETRONICA,Captacao de Imagem,Cameras Analogicas,4560029,VHD 3240 D VF - G7,AM,ago.-25,4560152 - VHD 3240 D VF G8,4560152 - VHD 3240 D VF G8,4560152 - VHD 3240 D VF G8
SEGURANCA ELETRONICA,Captacao de Imagem,Cameras Analogicas,4565357,VHD 1530 B - 5MP,AM,ago.-25,4560107 - CÂMERA DE TV VHD 3530 B FULL COLOR+,4560107 - CÂMERA DE TV VHD 3530 B FULL COLOR+,4560107 - CÂMERA DE TV VHD 3530 B FULL COLOR+
SEGURANCA ELETRONICA,Captacao de Imagem,Cameras Analogicas,4565358,VHD 1520 D - 5MP,AM,ago.-25,4560108 - CÂMERA DE TV VHD 3520 D FULL COLOR+,4560108 - CÂMERA DE TV VHD 3520 D FULL COLOR+,4560108 - CÂMERA DE TV VHD 3520 D FULL COLOR+
SEGURANCA ELETRONICA,Captacao de Imagem,Acessorios Para CFTV,4600204,VBOX 3000 D,SC,ago.-25, - , - , - 
VAREJO,Energia HO,Smart Energy,4630017,Lâmpada LED WI-FI SMART MLS 4100,SC,ago.-25,4639000 - Lâmpada LED Wi-Fi Smart EWS 410,4639000 - Lâmpada LED Wi-Fi Smart EWS 410,4639000 - Lâmpada LED Wi-Fi Smart EWS 410
REDES,Cabos Opticos,Cabos Opticos,4830001,Cabo Óptico Drop Compacto 1km-CFOAC-BLI A/B-CM-01-FO-CO-LSZH,SC,ago.-25,4830162 - CABO OPTICO DROP 1KM CFOAC-BLI A/B-CM-01-FO-CO-LSZH PRETO,4830162 - CABO OPTICO DROP 1KM CFOAC-BLI A/B-CM-01-FO-CO-LSZH PRETO,4830162 - CABO OPTICO DROP 1KM CFOAC-BLI A/B-CM-01-FO-CO-LSZH PRETO
REDES,Cabos Opticos,Cabos Opticos,4830068,Cabo Óptico Drop Compacto 1km-CFOAC-BLI A/B-CM-01-FO-CO-LSZH,SC,ago.-25,4830162 - CABO OPTICO DROP 1KM CFOAC-BLI A/B-CM-01-FO-CO-LSZH PRETO,4830162 - CABO OPTICO DROP 1KM CFOAC-BLI A/B-CM-01-FO-CO-LSZH PRETO,4830162 - CABO OPTICO DROP 1KM CFOAC-BLI A/B-CM-01-FO-CO-LSZH PRETO
REDES,Cabos Opticos,Cabos Opticos,4830119,CABO OPT DROP COMP 1KM CFOAC-BLI A/B-CM-01-FO-CO-LSZH MARROM,SC,ago.-25,4830162 - CABO OPTICO DROP 1KM CFOAC-BLI A/B-CM-01-FO-CO-LSZH PRETO,4830162 - CABO OPTICO DROP 1KM CFOAC-BLI A/B-CM-01-FO-CO-LSZH PRETO,4830162 - CABO OPTICO DROP 1KM CFOAC-BLI A/B-CM-01-FO-CO-LSZH PRETO
REDES,Cabos Opticos,Cabos Opticos,4830120,CABO OPT DROP COMP 1KM CFOAC-BLI A/B-CM-01-FO-CO-LSZH CINZA,SC,ago.-25,4830162 - CABO OPTICO DROP 1KM CFOAC-BLI A/B-CM-01-FO-CO-LSZH PRETO,4830162 - CABO OPTICO DROP 1KM CFOAC-BLI A/B-CM-01-FO-CO-LSZH PRETO,4830162 - CABO OPTICO DROP 1KM CFOAC-BLI A/B-CM-01-FO-CO-LSZH PRETO
VAREJO,Energia HO,Smart Energy,4850004,IZY Soquete EWS 400,SC,ago.-25, - , - , - 
VAREJO,Energia HO,Smart Energy,4850032,INTERRUPTOR CONTROLADOR DIMMER SMART WI-FI EWS 252,SC,ago.-25, - , - , - 
VAREJO,Energia HO,Smart Energy,4850056,INTERRUPTOR SMART WI-FI TOUCH 3 PRETO MIS 1003,SC,ago.-25,4850018 - INTERRUPTOR SMART WI-FI TOUCH 3 PRETO EWS 1003,4850018 - INTERRUPTOR SMART WI-FI TOUCH 3 PRETO EWS 1003,4850018 - INTERRUPTOR SMART WI-FI TOUCH 3 PRETO EWS 1003
VAREJO,Energia HO,Smart Energy,4850057,INTERRUPTOR SMART WI-FI TOUCH 3 BRANCO MIS 1003,SC,ago.-25,4850017 - INTERRUPTOR SMART WI-FI TOUCH 3 BRANCO EWS 1003,4850017 - INTERRUPTOR SMART WI-FI TOUCH 3 BRANCO EWS 1003,4850017 - INTERRUPTOR SMART WI-FI TOUCH 3 BRANCO EWS 1003
VAREJO,Energia HO,Smart Energy,4850058,INTERRUPTOR SMART WI-FI TOUCH 2 BRANCO MIS 1002,SC,ago.-25,4850015 - INTERRUPTOR WI-FI TOUCH 2 BRANCA EWS 1002,4850015 - INTERRUPTOR WI-FI TOUCH 2 BRANCA EWS 1002,4850015 - INTERRUPTOR WI-FI TOUCH 2 BRANCA EWS 1002
VAREJO,Energia HO,Smart Energy,4850059,INTERRUPTOR SMART WI-FI TOUCH BRANCO MIS 1001,SC,ago.-25,4850013 - INTERRUPTOR SMART WI-FI TOUCH BRANCA EWS 1001,4850013 - INTERRUPTOR SMART WI-FI TOUCH BRANCA EWS 1001,4850013 - INTERRUPTOR SMART WI-FI TOUCH BRANCA EWS 1001
VAREJO,Energia HO,Smart Energy,4850060,INTERRUPTOR SMART WI-FI TOUCH 2 PRETO MIS 1002,SC,ago.-25,4850016 - INTERRUPTOR SMART WI-FI TOUCH 2 PRETO EWS 1002,4850016 - INTERRUPTOR SMART WI-FI TOUCH 2 PRETO EWS 1002,4850016 - INTERRUPTOR SMART WI-FI TOUCH 2 PRETO EWS 1002
VAREJO,Energia HO,Smart Energy,4850061,INTERRUPTOR SMART WI-FI TOUCH PRETO MIS 1001,SC,ago.-25,4850014 - INTERRUPTOR SMART WI-FI TOUCH PRETO EWS 1001,4850014 - INTERRUPTOR SMART WI-FI TOUCH PRETO EWS 1001,4850014 - INTERRUPTOR SMART WI-FI TOUCH PRETO EWS 1001
SEGURANCA ELETRONICA,CFTV IP,Cameras IP,4950279,CAMERA IP DE VIDEO DOME VIP 3830 D IA FT,SC,ago.-25, - ,4570023 - CAMERA IP DE VIDEO BULLET VIP 3830 IA,4570023 - CAMERA IP DE VIDEO BULLET VIP 3830 IA
